,ID,Vote_time,therm_sens,mean.Temperature_60,grad.Temperature_60,sd.Temperature_60,mean.Humidity_60,grad.Humidity_60,sd.Humidity_60,mean.Winvel_60,grad.Winvel_60,sd.Winvel_60,mean.Solar_60,grad.Solar_60,sd.Solar_60,mean.hr_60,grad.hr_60,sd.hr_60,mean.WristT_60,grad.WristT_60,sd.WristT_60,mean.PantT_60,grad.PantT_60,sd.PantT_60
3002,11,5/19/2017 20:02,0.2,19.47272727,-0.033454545,0.572871555,54.27272727,0.121818182,2.101947149,0.072727273,-0.002909091,0.161807967,27.63636364,-0.412727273,6.874194168,89.13666667,-0.246501084,8.187283358,33.57566667,0.01430564,0.347501331,23.1455,0.007996944,0.400048408
3003,11,5/19/2017 21:28,0.2,17.17272727,-0.014511278,0.358024885,60.0,-0.102556391,4.604345773,0.436363636,0.020947368,0.484298931,0.0,0.0,0.0,91.93859256,-0.125215597,6.76208724,31.84409836,-0.024404019,0.575949584,23.89032787,0.02744844,0.624075228
3005,11,5/19/2017 23:24,-0.3,14.39166667,-0.018671329,0.355370059,72.16666667,0.163636364,3.352972449,0.0,0.0,0.0,0.0,0.0,0.0,81.99076923,0.280817862,11.3881104,31.83,-0.013058699,0.364485939,25.45901639,0.039951348,1.758931214
3006,11,5/20/2017 9:51,0.4,18.29166667,0.013916084,0.281096338,71.41666667,-0.007692308,0.668557923,0.233333333,0.008111888,0.20597146,591.8333333,2.637762238,47.64229086,109.5980392,6.000303368,14.3574461,32.77065574,-0.096132734,2.034690696,23.01278689,-0.01116129,0.548291684
3007,11,5/20/2017 12:34,0.4,22.63333333,0.021818182,0.403018911,51.75,-0.277622378,5.136765873,1.208333333,0.006223776,0.267847763,907.5833333,0.937762238,17.1753435,102.901694,0.188661364,9.302884852,31.93590164,-0.01019302,0.362433337,21.2542623,0.000686938,0.388529102
3011,11,5/20/2017 16:18,0.1,24.81818182,-0.025007519,0.45126086,40.63636364,0.010526316,0.504524979,0.754545455,-0.014646617,0.304511531,768.5454545,-2.133082707,37.13586847,94.10176125,0.028218817,8.562099758,31.93213115,0.007774722,0.896353938,27.24918033,-0.054163406,1.40101189
3012,11,5/20/2017 17:01,0.2,23.5875,-0.02,0.304431555,43.125,0.086666667,1.457737974,0.4625,-0.006666667,0.176776695,632.125,-2.93,42.90999717,97.4151247,-0.023645569,9.729409281,30.46418605,-0.007964361,0.383618316,25.62674419,0.115231048,1.858395008
3016,11,5/20/2017 23:01,0.2,17.64545455,0.032803738,0.613781128,55.54545455,-0.225233645,4.435394827,0.0,0.0,0.0,0.0,0.0,0.0,103.8985265,0.183264425,13.12197804,30.95721311,-0.023749868,0.953448358,22.39508197,-0.067842411,2.037143934
3017,11,5/21/2017 1:00,0.2,19.76153846,-0.008351648,0.464647647,46.69230769,0.062637363,2.868931723,0.907692308,-0.015164835,0.762082168,0.0,0.0,0.0,83.93609336,-0.297320638,9.861651397,28.71819672,0.149257007,3.051302732,20.24557377,0.183093072,3.589571713
3018,11,5/21/2017 2:23,0.1,19.3625,-0.038917749,1.105747969,51.0,0.273593074,7.708992893,0.975,-0.018961039,0.700510018,0.0,0.0,0.0,74.01878089,0.107936522,10.61621391,31.89147541,-0.01041724,0.894678408,22.66606557,-0.082106293,2.338394234
